Mask Number,Area (px^2),Center X (px),Center Y (px),DAPI - Clean Intensity (Magnitude/px^2),DAPI - Clean Standard Deviation (Magnitude),DAPI - Clean Background Intensity (Magnitude/px^2),FITC - Clean Intensity (Magnitude/px^2),FITC - Clean Standard Deviation (Magnitude),FITC - Clean Background Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Standard Deviation (Magnitude),Alexa 594 Clean (620-60) Background Intensity (Magnitude/px^2)
679,134,1876,1289,123.7164179,25.40428356,254,245.5895522,41.57739638,140,85.55970149,16.59717849,96.41791045
680,338,2034,1289,156.9378698,50.83912181,230.0118343,479.0384615,171.7506344,135,134.8609467,58.04435183,99
681,329,1760,1283,361.3161094,106.4471575,254,1076.778116,449.5722723,129.6170213,296.8206687,139.6758925,96
682,448,1385,1294,276.8035714,105.0485848,261,955.3727679,428.1763544,126,185.5959821,85.28475625,83.26339286
683,614,1666,1296,195.5504886,49.11427456,246,456.6302932,155.8341711,124,131.9397394,48.62844397,88.2247557
684,281,1029,1297,160.0213523,42.056674,279,366.9181495,100.7207086,132.3202847,98.25266904,27.05068394,92.38078292
685,576,1480,1299,430.7100694,216.6089025,262,1154.541667,706.4976999,125.4027778,341.8003472,226.3701088,89
686,50,1986,1302,109.84,21.6279864,233.88,187.38,20.56040379,134,65.54,12.85588883,99
687,274,1135,1307,271.850365,72.06922966,283.0875912,620.540146,216.382158,139.1021898,184.9671533,75.81128257,99
688,492,1277,1308,670.9105691,339.0292001,291.3841463,1956.613821,1159.222986,140,534.8841463,355.7373009,96
689,378,1829,1312,373.3783069,127.4423873,254,397.7539683,88.65517677,140,273.4312169,94.37262775,98
690,141,1913,1310,163.4751773,37.25521662,232.0141844,352.4609929,49.37936494,140,115.8156028,22.67270317,91.91489362
691,204,1829,1313,158.4166667,37.21019931,254,430.877451,68.43089846,140,118.0441176,24.51847629,98
692,175,1316,1313,156.3028571,35.1486947,269.9257143,326.8685714,86.43175426,129.0628571,116.1657143,31.96893196,88
693,306,1631,1313,186.6143791,53.85172408,246.4673203,422.3954248,190.7390386,123.9673203,143.3627451,62.92047375,85
694,250,2039,1325,109.288,34.07947621,233.744,299.64,71.55096479,135,84.568,27.7751546,99
695,371,1849,1327,301.4123989,95.730702,254,917.4204852,327.7730857,140,213.967655,107.298014,98
696,338,1882,1320,253.8550296,99.8261084,254,656.2011834,246.8150253,140,198.0710059,93.13606867,97.77218935
697,350,1109,1321,134.8,33.93065573,283,240.8742857,55.97094182,139,74.28857143,17.82418549,99
698,265,1492.5,1334,148.5283019,32.7923932,261.7773585,290.4188679,57.37266882,123.1283019,97.37358491,23.02683013,88.97358491
699,325,1732,1325,198.2676923,61.94765091,254,330.0738462,101.5519728,132,139.6892308,46.35716188,91
700,69,1832.5,1327,159.2173913,27.44559836,254,407.4492754,54.94102085,140,105.4492754,21.32282416,98
701,267,1524,1326,148.6142322,35.95732987,255,300.2883895,84.37997647,123.2958801,107.7041199,28.39117367,83
702,157,1568,1330,176.0127389,41.72037368,255,403.133758,112.9483145,123,139.0764331,33.37923917,85
703,180,1136.5,1331,138.7277778,30.60723078,283,305.8055556,57.7248431,139,78.67777778,17.53676284,99
704,241,1150,1332,174.8838174,35.64423439,283.1327801,297.0954357,78.88363806,139,111.1908714,35.90747484,99
705,235,1848,1327,189.5787234,44.05121794,254,438.0978723,117.66984,140,142.8212766,40.32318656,98
706,375,1666,1335,172.0293333,40.89548036,246,304.7546667,107.9778328,131.1973333,114.76,36.16592777,91
707,694,1939,1335,144.0273775,31.80873758,228.2262248,310.092219,75.91430288,138.6974063,105.1887608,25.30518693,90
708,264,1481.5,1333,141.9318182,33.56480439,259.0340909,318.2916667,94.49985498,122.8825758,99.625,25.89198644,86.08712121
709,307,1076,1337,283.4625407,101.7236472,279.1302932,585.6807818,232.9786711,136,192.1693811,84.44794181,99
710,152,1977.5,1339.5,197.2960526,64.925208,222.8092105,354.8026316,79.80464886,134,155.7828947,57.55261546,93
711,600,2036,1340,310.2983333,188.1248635,234,1117.776667,637.4010095,135,303.5533333,204.7307132,99
712,294,1110,1344,180.5204082,53.09491075,283,448.7108844,165.2810661,137.7585034,112.755102,41.31409561,99
713,253,1503,1345,164.9762846,33.5617092,255.8300395,349.2766798,80.73031315,123.0237154,113.0513834,27.2324162,83
714,276,1513,1345,142.9782609,31.00532914,255.3949275,297.4275362,68.02153538,123,104.0869565,25.60027791,83
715,318,1979,1341,155.5849057,33.3123639,229.6981132,262.2578616,54.6858783,134.7987421,109.8647799,34.74100594,93.64150943
716,359,1799,1349,194.1448468,53.97295174,254,605.6490251,210.2058434,138.6908078,136.4233983,48.00836878,98
717,304,758,1348,180.2105263,43.09321106,267.3618421,364.4309211,89.3782807,117.6776316,114.3684211,31.21313598,94
718,340,1799,1350,156.4852941,43.45821329,254,425.2470588,107.6954798,132.2794118,104.4411765,31.35992518,98
719,388,1972,1343,235.9510309,70.29921413,225.8762887,690.564433,270.0654021,135.4484536,203.8427835,85.00933844,91.88659794
720,196,1904,1354,149.6071429,40.84936368,253,199.6173469,51.89774468,140,116.4030612,41.37850044,93.90816327
721,329,1756,1356,206.6960486,74.45000788,253.8723404,707.343465,283.4188607,132,155.4711246,70.78415266,95.96960486
722,343,1853,1372,158.2069971,43.85863466,254,437.9329446,121.9232749,140,128.1953353,39.15622901,98
723,434,1858,1362.5,258.0184332,92.51577298,253.9285714,775.5529954,255.6513453,140,204.0046083,91.66620326,98
724,430,1668,1365,244.1465116,80.6253208,246,550.4023256,229.1530336,131.5395349,185.272093,78.15239976,91
725,353,774,1370.5,266.8555241,69.53493301,268.2492918,584.6515581,197.4519802,115.8215297,179.4362606,63.91073355,88.03399433
726,264,941,1366,243.5189394,48.40410948,272.0113636,273.4545455,48.80306723,111.1969697,146.5606061,30.93799947,91
727,330,999,1366,166.6030303,43.01342821,275,257.1090909,55.86822513,115,105.7484848,25.42430952,92
728,432,1448,1370,191.2222222,57.73096791,256,526.4421296,190.894114,129.9375,127.8356481,48.20656758,84.93055556
729,186,1500,1366,138.2580645,26.53295889,256,301.1612903,52.7426778,129.2741935,103.5967742,23.99558046,83.61290323
730,361,1447,1369,147.5567867,34.53118904,257.8282548,355.5872576,75.26659104,129.6177285,99.57617729,21.06841733,83.44875346
731,294,1044,1371,212.462585,63.36656154,275.8197279,408.5,159.3487332,120.6496599,147.3401361,58.85517559,93.15306122
732,292,747,1372,167.4863014,35.15048382,267.2636986,347.3972603,84.24799584,115.7739726,119.0513699,29.65171422,89.39726027
733,160,1365,1374,155.31875,34.48586838,265,292.40625,62.07180837,126,113.49375,25.59751287,83
734,314,1472,1371,150.0923567,32.76259466,256,380.0796178,102.7717004,130.1146497,87.47452229,21.22301302,88.88535032
735,428,883,1378,217.911215,57.08821856,272,354.9953271,121.3175907,111,138.5957944,50.38770231,91
736,264,1088,1378,137.7689394,31.66548692,278.9734848,330.3295455,104.4559385,132.5113636,80.70075758,23.18247665,98.79545455
737,130,774,1380,194.3307692,34.49017127,268,337.4615385,69.55909359,115.0076923,126.6538462,29.03211575,88
738,357,1016,1380,206.0784314,49.0351801,275,383.7507003,133.4599087,115.0420168,135.0952381,48.31773239,92.03361345
739,261,1552,1380,183.9578544,47.87839309,250.5172414,352.0344828,112.321905,123,137.8237548,44.70974308,87
740,286,1116,1381,141.9615385,32.25395811,278.9755245,336.041958,97.86075852,132.7832168,86.62237762,23.02136436,98.76923077
741,457,1877,1373,231.8730853,81.42576318,253,673.5645514,242.2196713,140,191.6258206,82.7642633,98
742,254,2043,1394,449.2913386,373.5040065,234,2091.65748,1136.800522,135,626.1496063,432.5986571,93
743,211,1771,1383,106.8530806,26.84350108,249.5402844,224.1895735,40.79089634,132,70.61611374,14.84233091,96.06635071
744,618,1863,1374,204.671521,96.02186338,253.1925566,577.8640777,301.1123586,139.3964401,163.592233,95.94355481,98
745,556,1927,1384,173.3597122,58.59720587,235.7553957,489.2607914,202.5878218,137.9640288,137.1834532,57.66441105,91.06115108
746,301,2013,1387,114.3986711,33.01172314,234,286.9036545,62.53591517,135,99.86046512,26.28118082,93
747,180,1580.5,1393,146.9944444,28.48100361,247,228.4222222,33.17786089,123,94.7,18.88036431,92
748,273,1324,1401,195.7985348,58.48415822,268.4688645,275.4981685,61.15157906,126.043956,134.7582418,35.7030257,84.55311355
749,346,992,1397,206.1473988,57.39710346,275,660.6213873,257.6413832,115.7023121,139.9971098,52.19997771,91.87572254
750,532,1653,1402,303.3139098,119.9411389,246,934.6785714,474.1611684,131,254.0695489,118.4186167,91.84398496
