Mask Number,Area (px^2),Center X (px),Center Y (px),DAPI - Clean Intensity (Magnitude/px^2),DAPI - Clean Standard Deviation (Magnitude),DAPI - Clean Background Intensity (Magnitude/px^2),FITC - Clean Intensity (Magnitude/px^2),FITC - Clean Standard Deviation (Magnitude),FITC - Clean Background Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Standard Deviation (Magnitude),Alexa 594 Clean (620-60) Background Intensity (Magnitude/px^2)
151,165,1201.5,689.5,582.9575757575758,147.207682706256,255.0,409.7939393939394,90.68065764187072,98.0,689.060606060606,92.37197448556651,120.0
152,151,415.5,691.5,2195.6490066225165,519.8375412719566,258.0,2883.1456953642382,841.0660885435893,99.0,2597.6423841059604,566.126809638628,125.0
153,464,949.0,694.5,550.3469827586207,127.23734336252144,249.0,656.5581896551724,160.14893465732933,87.0,907.8577586206897,208.76962724852504,114.0
154,513,691.5,694.5,914.8089668615985,304.91254278491607,255.0,1247.7680311890838,455.10866962023346,96.31384015594541,1447.9863547758284,361.92153442295904,120.0
155,224,68.0,701.5,1349.017857142857,250.55024583636148,250.0,1904.5044642857142,342.0159700171864,119.0,2551.433035714286,343.03389859511225,156.0
156,204,15.0,705.5,532.0098039215686,91.60237429947576,249.8921568627451,869.0539215686274,141.8585364677854,119.0,1023.9803921568628,157.68856757134475,156.0
157,268,48.5,707.0,1612.7201492537313,318.07701709801404,250.0,2466.1716417910447,535.2337796637789,119.0,2962.2350746268658,502.31791636596165,156.0
158,178,1460.0,711.0,2185.7191011235955,339.1008879013122,247.0,2729.724719101124,245.01665470010266,94.0,3882.85393258427,381.8543234094407,124.0
159,561,445.5,719.5,447.9286987522282,89.03459548270003,258.3529411764706,492.6898395721925,65.59045052561217,102.60606060606061,730.8413547237077,108.9495040355394,126.53832442067736
160,267,31.0,721.5,946.7453183520599,196.71119895844492,250.0,1168.9513108614233,226.52167456785898,119.0,1481.6029962546816,297.159775240634,156.0
161,147,75.0,721.5,1596.7278911564626,305.8787824600147,250.0,1446.1020408163265,308.60989105798296,119.0,2253.3401360544217,391.47649025089515,156.0
162,261,1153.5,721.5,933.3908045977012,276.7300276854893,253.0,1078.6283524904215,342.36044293310545,98.0,1387.7011494252874,390.8087900045591,118.0
163,173,55.5,723.0,1675.2658959537573,349.4221123644319,250.0,2195.901734104046,610.5469304166236,119.0,2931.635838150289,658.9016056418911,156.0
164,229,1459.0,732.0,3277.1004366812226,476.99473446814375,251.0,4014.126637554585,365.8471263485661,94.0,5644.633187772925,573.2953954748698,124.0
165,221,422.5,737.0,796.8597285067873,169.3898495883454,273.78280542986425,697.9683257918552,189.69212829645528,112.62443438914028,1043.2398190045249,217.2661573612249,141.32579185520362
166,320,32.5,742.5,1279.74375,294.1383622317287,250.0,1892.29375,460.74792810424117,119.0,2173.615625,473.6862238091449,156.0
167,241,66.5,749.5,828.4605809128631,171.8947822011897,250.0,1037.402489626556,153.46264418562131,119.0,1374.734439834025,236.04202489660418,155.701244813278
168,261,401.5,761.5,1090.111111111111,391.24686176071344,276.0,1288.4521072796936,445.7305871839081,116.0,1705.6896551724137,491.36400365195715,144.94252873563218
169,248,424.5,763.5,1014.9677419354839,253.85505238062936,276.0,1510.766129032258,472.632323803592,116.0,1746.7217741935483,505.7679205757115,145.0
170,232,1270.0,765.0,3289.689655172414,701.7289460031947,262.0,4687.198275862069,608.8683878830043,101.0,5883.137931034483,859.9511301583568,128.36206896551724
171,519,1900.5,770.5,320.3179190751445,75.39679518798472,226.0,466.60308285163774,92.56009458815825,85.04238921001927,562.1329479768787,110.54571397203111,115.0
172,84,1907.5,777.5,272.5595238095238,37.05461654098483,226.0,325.60714285714283,37.4982787901033,85.0,404.9047619047619,47.09989871516469,115.0
173,388,440.5,795.5,1720.3376288659795,385.84509339861967,276.0,1934.2757731958764,517.4629809682308,116.0,2688.273195876289,635.3966980799045,145.0
174,201,841.5,799.0,1040.2935323383085,235.50460379355687,263.0,1206.3034825870648,244.7897514966894,97.0,1504.5621890547263,295.1686930607378,117.0
175,178,308.0,807.5,826.0,173.8343584588241,266.0,1307.5955056179776,347.60742254111176,108.0,1352.2808988764045,301.0893213102999,128.01123595505618
176,457,862.5,802.5,1335.8621444201312,625.2288989878837,262.6061269146608,1771.7286652078774,828.7725498433649,97.0,2148.00875273523,645.294115529699,117.0
